unit,nace_r2,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 
MIO_EUR,C,AT	: 	: 	4206 	: 	3626 	: 	3435 	: 	3383 	3160 	: 
MIO_EUR,C,BE	: 	: 	4148 	4018 	3532 	3016 	2956 	3009 	: 	: 	: 
MIO_EUR,C,BG	: 	39 	23 	24 	14 	17 	13 	21 	15 	13 	: 
MIO_EUR,C,CH	: 	: 	: 	7294 	: 	: 	: 	5636 	: 	: 	: 
MIO_EUR,C,CY	: 	5 	5 	4 	4 	5 	5 	6 	: 	: 	: 
MIO_EUR,C,CZ	: 	976 	934 	848 	794 	675 	609 	665 	594 	552 	445 
MIO_EUR,C,DE	: 	49482 	46049 	46333 	43733 	40241 	38711 	40778 	37934 	: 	: 
MIO_EUR,C,DK	: 	2814 	2831 	2799 	2530 	2488 	2433 	: 	: 	: 	: 
MIO_EUR,C,EE	: 	27 	54 	95 	155 	43 	18 	20 	27 	: 	: 
MIO_EUR,C,EL	: 	: 	176 	: 	191 b	: 	: 	: 	: 	: 	: 
MIO_EUR,C,ES	: 	3096 	3101 	3205 	3420 	3346 	3328 	3434 	: 	: 	: 
MIO_EUR,C,FI	: 	3126 	3283 	3387 	3878 	3867 	3880 	4064 	: 	: 	: 
MIO_EUR,C,FR	: 	: 	15591 	15085 	14352 	13825 	14084 	14896 	14518 	: 	: 
MIO_EUR,C,HR	: 	85 	87 	66 	60 	56 	61 	89 	42 	44 	54 
MIO_EUR,C,HU	: 	526 	557 	518 	467 	438 	416 	407 	361 	332 	286 
MIO_EUR,C,IE	: 	: 	850 	: 	718 	729 e	743 	: 	: 	: 	: 
MIO_EUR,C,IS	35 	31 	28 b	: 	62 e	: 	: 	: 	: 	: 	: 
MIO_EUR,C,IT	: 	8736 	8279 	8252 	7968 	7578 	7131 	7238 	6577 	: 	: 
MIO_EUR,C,LT	: 	50 	31 	27 	23 	21 	29 	25 	: 	: 	: 
MIO_EUR,C,LU	: 	: 	: c	: 	: c	: 	: c	: 	: 	: 	: 
MIO_EUR,C,LV	: 	30 	24 	17 	20 	18 	12 	9 	: 	: 	: 
MIO_EUR,C,MT	: 	10 	12 	16 	14 	14 	14 	14 	: 	: 	: 
MIO_EUR,C,NL	: 	4389 	4148 	4049 b	3936 b	3541 	3555 	3758 	: 	: 	: 
MIO_EUR,C,NO	: 	1097 	1066 	1079 	995 	874 	903 	967 	: 	: 	: 
MIO_EUR,C,PL	: 	821 	660 	614 	420 	353 	347 	324 	269 	219 	218 
MIO_EUR,C,PT	: 	430 	424 	473 	432 	412 	425 	456 	364 	: 	: 
MIO_EUR,C,RO	: 	123 	90 	105 	123 b	89 	101 	106 	: 	: 	: 
MIO_EUR,C,RS	: 	: 	: 	: 	4 	8 	13 	: 	: 	: 	: 
MIO_EUR,C,SE	: 	: 	6999 	: 	6457 	: 	5618 	: 	5886 	: 	: 
MIO_EUR,C,SI	: 	455 	466 	432 	451 b	395 	334 	329 	: 	: 	: 
MIO_EUR,C,SK	: 	166 	162 	130 	106 	121 	84 	82 	49 	44 	43 
MIO_EUR,C,TR	: 	1562 	1425 	1350 	1099 	1019 	931 	: 	: 	: 	: 
